        MB  Type                  Source      Name
      0.17  Texture2D             inline      Texture_Fauna_Alligator_DiffuseTeal
      0.17  Texture2D             inline      Texture_Fauna_Alligator_DiffuseViolet
      0.17  Texture2D             inline      Texture_Rickety Hoverboard_Albedo
      0.17  Texture2D             inline      Texture_Rickety Hoverboard_Emission
      0.17  AnimationClip         object      Toppo_GA3_2_Idle
      0.17  AudioClip             m_Resource  18_Toppo_130
      0.17  AudioClip             m_Resource  74_Player_21
      0.17  AudioClip             m_Resource  23_DANI_64
      0.17  AudioClip             m_Resource  22_Aryn_39
      0.17  AnimationClip         object      Player_GA4_1_Startled
      0.17  AudioClip             m_Resource  23_Jasper_34
      0.16  AudioClip             m_Resource  21_Toppo_47
      0.16  AnimationClip         object      Hoverboard
      0.16  AudioClip             m_Resource  74_Player_21
      0.16  AnimationClip         object      Player_GA1_0_TenseIdle
      0.16  AudioClip             m_Resource  74_Player_22
      0.16  AudioClip             m_Resource  26_Toppo_173
      0.16  AudioClip             m_Resource  74_Player_22
      0.16  AudioClip             m_Resource  74_Player_21
      0.16  AudioClip             m_Resource  26_Toppo_198
      0.16  Texture2D             inline      UI_MapHint_Panel
      0.16  AnimationClip         object      Tera_GA6_2_Idle
      0.16  Shader                object      
      0.16  AudioClip             m_Resource  74_Player_22
      0.16  AudioClip             m_Resource  26_Toppo_207
      0.16  Shader                object      
      0.16  ResourceManager       object      
      0.16  AudioClip             m_Resource  74_Player_22
      0.16  Texture2D             inline      TextureWork_DefaultMaterial_BaseMap 1 purple
      0.16  AudioClip             m_Resource  74_Player_22
      0.16  AudioClip             m_Resource  22_Aryn_28
      0.16  AudioClip             m_Resource  20_Toppo_21
      0.15  AudioClip             m_Resource  74_Player_21
      0.15  AudioClip             m_Resource  Line 12.0 Identifying a watershed
      0.15  AudioClip             m_Resource  18_DANI_268
      0.15  AnimationClip         object      Tera_GA1_1_Idle
      0.15  AnimationClip         object      Animation Clip_Anderson_idle01
      0.15  MonoManager           object      
      0.15  Texture2D             inline      DialogueUpdated_Template
      0.15  AudioClip             m_Resource  74_Player_25
      0.15  AudioClip             m_Resource  74_Player_21
      0.15  Texture2D             inline      Texture_Anderson_Body_Diffuse
      0.15  AudioClip             m_Resource  U1Topo18
      0.15  AnimationClip         object      Animation Clip_Anderson_idle02
      0.15  Texture2D             inline      Texture_AlienDungeon_Hexagon_Contrast
      0.15  AnimationClip         object      Tera_U1_LeaningOverHolograph_Idle
      0.15  AudioClip             m_Resource  74_Player_22
      0.15  AudioClip             m_Resource  74_Player_21
      0.15  AudioClip             m_Resource  21_Toppo_35
      0.15  Shader                object      
      0.15  AudioClip             m_Resource  59_DANI_179
      0.15  AudioClip             m_Resource  21_Tera_83
      0.15  AnimationClip         object      Toppo_U1_HunchedDesk
      0.15  AnimationClip         object      Anderson_GA0_1_Talking
      0.15  AudioClip             m_Resource  26_Toppo_210
      0.15  Texture2D             inline      UI_DroneCollection_Table_1
      0.15  AudioClip             m_Resource  Animation Clip_Jasper_01_Mountain
      0.15  AudioClip             m_Resource  21_Tera_72
      0.14  AudioClip             m_Resource  18_DANI_187
      0.14  AudioClip             m_Resource  26_Toppo_179
      0.14  AudioClip             m_Resource  26_Toppo_185
      0.14  AudioClip             m_Resource  Animation Clip_Anderson_02_Skills
      0.14  AudioClip             m_Resource  74_Player_25
      0.14  AudioClip             m_Resource  26_Toppo_204
      0.14  AnimationClip         object      Animation Clip_Anderson_idle03
      0.14  AudioClip             m_Resource  20_Toppo_42
      0.14  AudioClip             m_Resource  74_Player_25
      0.14  AnimationClip         object      Hoverboard_Fast
      0.14  AudioClip             m_Resource  18_DANI_39
      0.14  AudioClip             m_Resource  Line 4.0 A watershed is
      0.14  AudioClip             m_Resource  18_DANI_99
      0.14  Texture2D             inline      Texture_Ruinba_Normal
      0.14  AudioClip             m_Resource  68_DANI_9
      0.14  AnimationClip         object      Animation Clip_Mixamo_idle01
      0.14  AnimationClip         object      Tera_GA6_3_AngryGestures
      0.14  AudioClip             m_Resource  28_DANI_179
      0.14  AudioClip             m_Resource  68_DANI_13
      0.14  AudioClip             m_Resource  24_DANI_10
      0.14  Mesh                  mesh-data   Combined Mesh (root: scene) 9
      0.14  AudioClip             m_Resource  74_Player_25
      0.14  Shader                object      
      0.14  AnimationClip         object      Toppo_U1_Salute
      0.14  Shader                object      
      0.14  Texture2D             inline      UI_Objectives_BGpanel
      0.14  AudioClip             m_Resource  Line 10.1 Watersheds come
      0.14  AudioClip             m_Resource  U1Topo10
      0.14  AudioClip             m_Resource  27_Toppo_20
      0.14  AudioClip             m_Resource  74_Player_25
      0.14  AudioClip             m_Resource  21_Anderson_11
      0.14  AudioClip             m_Resource  21_Toppo_29
      0.14  AudioClip             m_Resource  19_Anderson_32
      0.14  AudioClip             m_Resource  26_Toppo_176
      0.13  AudioClip             m_Resource  26_Toppo_201
      0.13  AudioClip             m_Resource  74_Player_25
      0.13  AudioClip             m_Resource  19_DANI_53
      0.13  AudioClip             m_Resource  28_DANI_188
      0.13  AudioClip             m_Resource  20_Anderson_27
      0.13  AudioClip             m_Resource  74_Player_25
      0.13  AudioClip             m_Resource  18_DANI_190
      0.13  AudioClip             m_Resource  18_DANI_213
      0.13  AudioClip             m_Resource  20_Toppo_37
      0.13  AnimationClip         object      Toppo_U1_RubsFace
      0.13  AnimationClip         object      Anderson_GA2_1_AngryIdle
      0.13  AudioClip             m_Resource  26_Toppo_206
      0.13  AudioClip             m_Resource  18_DANI_113
      0.13  AudioClip             m_Resource  59_DANI_193
      0.13  AudioClip             m_Resource  18_DANI_229
      0.13  AudioClip             m_Resource  26_Toppo_181
      0.13  AudioClip             m_Resource  28_DANI_193
      0.13  Texture2D             inline      Texture_Tera_Body_Diffuse
      0.13  Texture2D             inline      Texture_Captain_Body_Normal
      0.13  Texture2D             inline      Texture_Captain_Body_Normal
      0.13  Texture2D             inline      Texture_Captain_Body_Normal
      0.13  Texture2D             inline      Texture_Jasper_Body_Diffuse
      0.13  AnimationClip         object      Toppo_GA3_1_HoldIt
      0.13  Shader                object      
      0.13  AudioClip             m_Resource  68_DANI_7
      0.13  AudioClip             m_Resource  23_Jasper_49
      0.13  AnimationClip         object      Anderson_U1_WorkingonMachine_StandUp
      0.13  AudioClip             m_Resource  18_DANI_192
      0.13  AudioClip             m_Resource  26_Toppo_184
      0.13  AnimationClip         object      U3_Player_CratePush_RightHand
      0.13  AudioClip             m_Resource  18_DANI_234
      0.13  AudioClip             m_Resource  U1Topo3
      0.13  AudioClip             m_Resource  23_DANI_24
      0.13  AudioClip             m_Resource  59_DANI_188
      0.13  AudioClip             m_Resource  26_Toppo_209
      0.13  AudioClip             m_Resource  24_DANI_1
      0.13  AnimationClip         object      Animation Clip_NSP_01_intro
      0.13  AudioClip             m_Resource  20_Toppo_70
      0.13  Texture2D             inline      UI_SoilKey_Filter_Gravel_2
      0.13  Texture2D             inline      UI_SoilKey_Filter_SandClay_2
      0.13  Texture2D             inline      UI_SoilKey_Filter_GravelSand_2
      0.13  Texture2D             inline      UI_SoilKey_Filter_Sand_2
      0.13  Texture2D             inline      UI_SoilKey_Filter_Clay_2
      0.13  AnimationClip         object      U3_Player_CratePush_LeftHand
      0.13  AudioClip             m_Resource  22_Anderson_22
      0.13  Cubemap               object      ReflectionProbe-0
      0.13  ComputeShader         object      Internal-BlendShape
      0.13  AudioClip             m_Resource  26_Toppo_172
      0.12  AnimationClip         object      Tera_GA4_2_StandingIdle
      0.12  Shader                object      
      0.12  AudioClip             m_Resource  U1Topo1
      0.12  AudioClip             m_Resource  21_Anderson_32
      0.12  AudioClip             m_Resource  21_Toppo_42
      0.12  AudioClip             m_Resource  21_Toppo_25
      0.12  AudioClip             m_Resource  26_Toppo_197
      0.12  AudioClip             m_Resource  26_Toppo_146
      0.12  AudioClip             m_Resource  25_DANI_26
      0.12  Texture2D             inline      Texture_Tent_8sided_Normal
      0.12  Texture2D             inline      NewMap
      0.12  AnimationClip         object      Anderson_GA1_1_SternIdle
      0.12  AnimationClip         object      Toppo_GA1_1_Idle
      0.12  AnimationClip         object      Tera_GA7_2_Idle
      0.12  AudioClip             m_Resource  U1Topo12
      0.12  AudioClip             m_Resource  23_Jasper_73
      0.12  AudioClip             m_Resource  U1Topo2
      0.12  AudioClip             m_Resource  Animation Clip_Tera_06_Useless
      0.12  Texture2D             inline      Texture_Aryn_Diffuse
      0.12  AudioClip             m_Resource  26_Toppo_165
      0.12  AudioClip             m_Resource  21_Aryn_30
      0.12  AudioClip             m_Resource  21_Tera_69
      0.12  AudioClip             m_Resource  26_Toppo_191
      0.12  AudioClip             m_Resource  21_DANI_46
      0.12  AudioClip             m_Resource  19_Anderson_7
      0.12  AnimationClip         object      ToppoLesson_1_Idle_TalkingVer
      0.12  AnimationClip         object      ToppoLesson_1_Idle_TalkingVer
      0.12  AnimationClip         object      Animation Clip_Aryn_convo01_intro
      0.12  AudioClip             m_Resource  26_Toppo_147
      0.12  AudioClip             m_Resource  25_DANI_22
      0.12  Texture2D             inline      Tex_Grass_Normal
      0.11  AudioClip             m_Resource  18_DANI_228
      0.11  AudioClip             m_Resource  74_Player_4
      0.11  AnimationClip         object      ToppoLesson_1_Idle
      0.11  AudioClip             m_Resource  28_DANI_187
      0.11  AudioClip             m_Resource  26_Toppo_142
      0.11  AudioClip             m_Resource  59_DANI_186
      0.11  AudioClip             m_Resource  26_Toppo_187
      0.11  AudioClip             m_Resource  26_Toppo_195
      0.11  AudioClip             m_Resource  Animation Clip_Toppo_T&C_01
      0.11  AudioClip             m_Resource  59_DANI_187
      0.11  AudioClip             m_Resource  26_Toppo_169
      0.11  AudioClip             m_Resource  20_DANI_89
      0.11  AnimationClip         object      Toppo_GA1_3_Idle
      0.11  AudioClip             m_Resource  26_Toppo_144
      0.11  AudioClip             m_Resource  21_Anderson_93
      0.11  AudioClip             m_Resource  28_DANI_186
      0.11  AudioClip             m_Resource  18_DANI_238
      0.11  AudioClip             m_Resource  18_DANI_227
      0.11  AudioClip             m_Resource  21_Aryn_23
      0.11  AnimationClip         object      Toppo_TC5_1_HandsOnHips_Idle
      0.11  AudioClip             m_Resource  21_Toppo_22
      0.11  AudioClip             m_Resource  17_DANI_22
      0.11  AudioClip             m_Resource  103_DANI_8
      0.11  AudioClip             m_Resource  27_Toppo_17
      0.11  Texture2D             inline      Tex_AlienTrim_Albedo
      0.11  AudioClip             m_Resource  74_Player_4
      0.11  AnimationClip         object      Anim_Toppo_Idle_HandsBehindBack
      0.11  AudioClip             m_Resource  26_Toppo_137
      0.11  AnimationClip         object      Tera_GA2_1_Idle
      0.11  AudioClip             m_Resource  68_DANI_5
      0.11  AudioClip             m_Resource  20_Toppo_41
      0.11  AnimationClip         object      Tera_GA3_3_Idle
      0.11  AudioClip             m_Resource  26_Toppo_140
      0.11  AudioClip             m_Resource  18_DANI_214
      0.11  AudioClip             m_Resource  26_Toppo_192
      0.11  AudioClip             m_Resource  27_Toppo_29
      0.11  AudioClip             m_Resource  28_DANI_185
      0.11  AudioClip             m_Resource  21_Anderson_92
      0.11  AudioClip             m_Resource  Animation Clip_Crumbling Rock Slide_RBDII 07
      0.10  AudioClip             m_Resource  27_Toppo_15
      0.10  AudioClip             m_Resource  59_DANI_195
      0.10  AudioClip             m_Resource  26_Toppo_188
      0.10  AudioClip             m_Resource  59_DANI_185
      0.10  AudioClip             m_Resource  28_DANI_195
      0.10  AudioClip             m_Resource  18_DANI_226
      0.10  AudioClip             m_Resource  74_Player_20
      0.10  AudioClip             m_Resource  74_Player_4
